model,alert_rows,alert_rate,alert_event_count,mean_event_duration_hours,median_event_duration_hours,max_event_duration_hours,machines_with_alerts,daily_alert_rate_std,machine_alert_rate_std
Isolation Forest,6435,0.037025316455696206,2320,2.773706896551724,1.0,79.0,99,0.01586754562107153,0.02648713101332581
3-Sigma,3851,0.02215765247410817,3271,1.1773158055640478,1.0,28.0,100,0.006478634481446039,0.010081529330885922
IQR,8620,0.04959723820483314,6885,1.25199709513435,1.0,28.0,100,0.009978092639992737,0.015679759482880983
