model,horizon_hours,alert_rows,alert_rate,alert_event_count,eligible_failures,detected_failures,failure_detection_rate,matched_alert_events,alert_precision,false_alert_events,false_alert_rate,mean_lead_time_hours,median_lead_time_hours,base_failure_rate,alert_failure_rate,lift
Isolation Forest,24,6435,0.037025316455696206,2287,137,111,0.8102189781021898,272,0.11893310013117621,2015,0.8810668998688238,19.585585585585587,23.0,0.01808051341890315,0.15283772981614707,8.45317421442001
3-Sigma,24,3851,0.02215765247410817,3195,137,116,0.8467153284671532,305,0.09546165884194054,2890,0.9045383411580594,17.5,19.0,0.01808051341890315,0.09943865276663993,5.4997693075837635
IQR,24,8620,0.04959723820483314,6734,137,130,0.948905109489051,490,0.07276507276507277,6244,0.9272349272349273,20.20769230769231,22.0,0.01808051341890315,0.080342286665082,4.443584360889014
Isolation Forest,48,6435,0.037025316455696206,2244,137,115,0.8394160583941606,416,0.18538324420677363,1828,0.8146167557932263,32.573913043478264,35.0,0.03597041420118343,0.23990885416666666,6.6696161135329275
3-Sigma,48,3851,0.02215765247410817,3148,137,128,0.9343065693430657,578,0.18360864040660738,2570,0.8163913595933926,40.0546875,44.0,0.03597041420118343,0.20223189983669027,5.622173231189448
IQR,48,8620,0.04959723820483314,6638,137,134,0.9781021897810219,939,0.14145827056342272,5699,0.8585417294365773,44.07462686567164,46.0,0.03597041420118343,0.16289756923449025,4.528654252447582
Isolation Forest,72,6435,0.037025316455696206,2204,136,114,0.8382352941176471,447,0.2028130671506352,1757,0.7971869328493648,35.04385964912281,35.5,0.053847539015606245,0.2537634408602151,4.712628385610504
3-Sigma,72,3851,0.02215765247410817,3095,136,128,0.9411764705882353,612,0.1977382875605816,2483,0.8022617124394185,43.9453125,45.0,0.053847539015606245,0.21188558733685087,3.9349168264763517
IQR,72,8620,0.04959723820483314,6540,136,134,0.9852941176470589,1030,0.15749235474006115,5510,0.8425076452599388,52.843283582089555,48.0,0.053847539015606245,0.1764199655765921,3.2762865081997816
