machineID,observations,anomaly_count,anomaly_rate
63,1738,235,0.13521288837744533
83,1738,171,0.09838895281933256
28,1738,157,0.0903337169159954
99,1738,156,0.08975834292289989
85,1738,154,0.08860759493670886
15,1738,152,0.08745684695051784
62,1738,150,0.08630609896432681
94,1738,142,0.08170310701956271
16,1738,142,0.08170310701956271
11,1738,141,0.0811277330264672
86,1738,124,0.0713463751438435
38,1738,122,0.07019562715765247
73,1738,120,0.06904487917146145
5,1738,113,0.06501726121979287
31,1738,112,0.06444188722669736
82,1738,111,0.06386651323360185
68,1738,111,0.06386651323360185
88,1738,109,0.06271576524741082
22,1738,109,0.06271576524741082
67,1738,108,0.06214039125431531
98,1738,104,0.05983889528193326
72,1738,99,0.056962025316455694
78,1738,98,0.05638665132336018
95,1738,96,0.05523590333716916
46,1738,92,0.05293440736478711
18,1738,91,0.0523590333716916
23,1738,87,0.05005753739930955
52,1738,86,0.04948216340621404
96,1738,86,0.04948216340621404
70,1738,84,0.04833141542002301
37,1738,83,0.047756041426927506
17,1738,83,0.047756041426927506
4,1738,83,0.047756041426927506
41,1738,82,0.047180667433831994
58,1738,76,0.04372842347525892
13,1738,75,0.043153049482163405
79,1738,73,0.04200230149597238
33,1738,73,0.04200230149597238
71,1738,70,0.04027617951668585
57,1738,69,0.039700805523590336
32,1738,67,0.03855005753739931
92,1738,64,0.03682393555811277
2,1738,63,0.03624856156501726
40,1738,61,0.035097813578826235
24,1738,60,0.03452243958573072
53,1738,59,0.03394706559263521
75,1738,59,0.03394706559263521
20,1738,57,0.03279631760644419
76,1738,55,0.03164556962025317
87,1738,55,0.03164556962025317
90,1738,55,0.03164556962025317
21,1738,54,0.031070195627157654
80,1738,53,0.03049482163406214
9,1738,52,0.02991944764096663
49,1738,52,0.02991944764096663
42,1738,51,0.029344073647871116
8,1738,48,0.02761795166858458
14,1738,48,0.02761795166858458
50,1738,45,0.025891829689298044
44,1738,45,0.025891829689298044
69,1738,44,0.02531645569620253
54,1738,43,0.02474108170310702
61,1738,43,0.02474108170310702
60,1738,39,0.02243958573072497
35,1738,39,0.02243958573072497
6,1738,39,0.02243958573072497
39,1738,39,0.02243958573072497
1,1738,36,0.020713463751438434
89,1738,33,0.0189873417721519
48,1738,31,0.017836593785960874
51,1738,30,0.01726121979286536
25,1738,30,0.01726121979286536
47,1738,30,0.01726121979286536
81,1738,29,0.01668584579976985
59,1738,29,0.01668584579976985
100,1738,28,0.01611047180667434
7,1738,28,0.01611047180667434
93,1738,27,0.015535097813578827
56,1738,25,0.014384349827387802
97,1738,25,0.014384349827387802
30,1738,24,0.01380897583429229
36,1738,21,0.012082853855005753
55,1738,20,0.011507479861910242
10,1738,18,0.010356731875719217
91,1738,18,0.010356731875719217
66,1738,18,0.010356731875719217
19,1738,15,0.00863060989643268
43,1738,14,0.00805523590333717
29,1738,14,0.00805523590333717
26,1738,13,0.007479861910241657
84,1738,12,0.006904487917146145
77,1738,12,0.006904487917146145
34,1738,11,0.006329113924050633
3,1738,9,0.005178365937859608
64,1738,6,0.0034522439585730723
74,1738,4,0.0023014959723820483
12,1738,3,0.0017261219792865361
27,1738,2,0.0011507479861910242
45,1738,2,0.0011507479861910242
65,1738,0,0.0
